,SenseDemultiplex,SenseStripped,AntiSenseDemultiplex,AntSenseStripped
RIZ.LH-MD9-0000-1.S,4247,3931,4398,4094
RIZ.LH-MD9-0000-2.S,226423,206718,227000,209268
RIZ.LH-MD9-0000-3.S,15933,15698,15810,15553
RIZ.LH-MD9-0000-4.S,11202,6860,10999,6791
RIZ.LH-MD9-0000-5.S,47534,35900,48546,36590
RIZ.LH-MD9-0000-6.S,55381,44869,54643,44244
RIZ.LH-MD9-0000-7.S,140505,121725,139254,121191
RIZ.LH-MD9-0000-8.S,31487,28304,31330,29114
RIZ.LH-MD9-0250-1.S,68,50,80,64
RIZ.LH-MD9-0250-2.S,82,28,74,19
RIZ.LH-MD9-0250-3.S,12,10,15,6
RIZ.LH-MD9-0250-4.S,62,5,44,2
RIZ.LH-MD9-0250-5.S,50040,33261,50499,33397
RIZ.LH-MD9-0250-6.S,137766,121658,138490,122072
RIZ.LH-MD9-0250-7.S,93640,80629,94064,81641
RIZ.LH-MD9-0250-8.S,1379,753,1350,731
RIZ.LH-MD9-0450-1.S,4175,3659,4207,3554
RIZ.LH-MD9-0450-2.S,244919,216140,242682,215061
RIZ.LH-MD9-0450-3.S,158,79,142,71
RIZ.LH-MD9-0450-4.S,333,176,316,148
RIZ.LH-MD9-0450-5.S,58347,25646,61871,27707
RIZ.LH-MD9-0450-6.S,11915,3216,14027,3884
RIZ.LH-MD9-0450-7.S,62238,34362,66988,35733
RIZ.LH-MD9-0450-8.S,1059,956,1120,961
RIZ.LH-MD9-0700-1.S,24114,20755,24273,20902
RIZ.LH-MD9-0700-2.S,398890,342611,398288,342742
RIZ.LH-MD9-0700-3.S,677,5,731,8
RIZ.LH-MD9-0700-4.S,1030,380,964,367
RIZ.LH-MD9-0700-5.S,47937,24273,49414,23961
RIZ.LH-MD9-0700-6.S,25867,22123,27005,23068
RIZ.LH-MD9-0700-7.S,4528,500,4805,628
RIZ.LH-MD9-0700-8.S,3218,358,3505,368
RIZ.LH-MD9-0900-1.S,22256,18590,22722,19337
RIZ.LH-MD9-0900-2.S,8077,4983,8649,5109
RIZ.LH-MD9-0900-3.S,67923,65565,67084,65476
RIZ.LH-MD9-0900-4.S,23347,14739,23966,14606
RIZ.LH-MD9-0900-5.S,27453,5498,25147,5025
RIZ.LH-MD9-0900-6.S,212974,187768,213423,187927
RIZ.LH-MD9-0900-7.S,7029,552,8011,561
RIZ.LH-MD9-0900-8.S,121375,108437,119628,107585
RIZ.LH-MD9-1150-1.S,1503,949,1506,969
RIZ.LH-MD9-1150-2.S,775,250,815,244
RIZ.LH-MD9-1150-3.S,3595,3150,3570,3093
RIZ.LH-MD9-1150-4.S,2903,60,2856,78
RIZ.LH-MD9-1150-5.S,44700,40139,43434,39374
RIZ.LH-MD9-1150-6.S,3966,1009,4472,1231
RIZ.LH-MD9-1150-7.S,3109,477,3244,450
RIZ.LH-MD9-1150-8.S,25050,20792,25399,20077
RIZ.NM-MD9-1849-1.S,9102,4154,9610,4076
RIZ.NM-MD9-1849-2.S,12684,10836,12518,10617
RIZ.NM-MD9-1849-3.S,18,8,35,17
RIZ.NM-MD9-1849-4.S,3380,14,3921,8
RIZ.NM-MD9-1849-5.S,12337,4580,13339,4568
RIZ.NM-MD9-1849-6.S,149682,119037,150055,119756
RIZ.NM-MD9-1849-7.S,10062,8488,9778,8334
RIZ.NM-MD9-1849-8.S,20408,17693,20656,17909
RIZ.NM-MD9-2050-1.S,98,66,112,69
RIZ.NM-MD9-2050-2.S,21522,16788,22366,17299
RIZ.NM-MD9-2050-3.S,25485,24499,24881,24285
RIZ.NM-MD9-2050-4.S,22404,16880,22118,17119
RIZ.NM-MD9-2050-5.S,18162,4641,19068,4856
RIZ.NM-MD9-2050-6.S,4686,2057,4915,2151
RIZ.NM-MD9-2050-7.S,26606,14890,27619,15981
RIZ.NM-MD9-2050-8.S,14565,71,15327,72
RIZ.NM-MD9-2250-1.S,26,1,30,0
RIZ.NM-MD9-2250-2.S,18,2,25,3
RIZ.NM-MD9-2250-3.S,4,2,7,4
RIZ.NM-MD9-2250-4.S,30474,18386,30386,18236
RIZ.NM-MD9-2250-5.S,37959,8767,41588,7829
RIZ.NM-MD9-2250-6.S,74019,58778,75165,60246
RIZ.NM-MD9-2250-7.S,50613,91,51709,63
RIZ.NM-MD9-2250-8.S,6724,3899,6767,4019
RIZ.NM-MD9-2450-1.S,73,2,65,2
RIZ.NM-MD9-2450-2.S,0,0,0,0
RIZ.NM-MD9-2450-3.S,137,9,141,15
RIZ.NM-MD9-2450-4.S,2,2,4,3
RIZ.NM-MD9-2450-5.S,8122,1642,8328,1532
RIZ.NM-MD9-2450-6.S,2431,5,2362,1
RIZ.NM-MD9-2450-7.S,792,191,758,168
RIZ.NM-MD9-2450-8.S,4835,263,5860,354
RIZ.NM-MD9-2650-1.S,377,328,384,352
RIZ.NM-MD9-2650-2.S,511,474,519,491
RIZ.NM-MD9-2650-3.S,3633,3365,3785,3529
RIZ.NM-MD9-2650-4.S,52682,43441,53061,41341
RIZ.NM-MD9-2650-5.S,57448,14167,62560,13987
RIZ.NM-MD9-2650-6.S,2673,1290,3097,1330
RIZ.NM-MD9-2650-7.S,3012,947,4061,1013
RIZ.NM-MD9-2650-8.S,4263,612,5267,608
RIZ.TubNTC-1.S,1,0,0,0
RIZ.TubNTC-2.S,886,1,987,0
RIZ.TubNTC-3.S,0,0,0,0
RIZ.TubNTC-4.S,79837,77541,77054,75485
RIZ.TubNTC-5.S,43449,138,45008,97
RIZ.TubNTC-6.S,2197,0,2690,0
RIZ.TubNTC-7.S,2315,2,2321,0
RIZ.TubNTC-8.S,14108,2,13817,2
